Driver_ID,Age,Gender,City,Education_Level,Income,Joining Designation,Grade,Total Business Value,Quarterly Rating,target,has_quartery_rating_increased,has_Income_increased,length_of_stay,doj_year,doj_month,doj_quater
1,28.0,0.0,C23,2,57387,1,1,2381060,2,0,0,0,735,2018,12,4
1,28.0,0.0,C23,2,57387,1,1,-665480,2,0,0,0,735,2018,12,4
1,28.0,0.0,C23,2,57387,1,1,0,2,1,0,0,77,2018,12,4
2,31.0,0.0,C7,2,67016,2,2,0,1,0,0,0,52,2020,11,4
2,31.0,0.0,C7,2,67016,2,2,0,1,0,0,0,52,2020,11,4
4,43.0,0.0,C13,2,65603,2,2,0,1,0,0,0,387,2019,12,4
4,43.0,0.0,C13,2,65603,2,2,0,1,0,0,0,387,2019,12,4
4,43.0,0.0,C13,2,65603,2,2,0,1,0,0,0,387,2019,12,4
4,43.0,0.0,C13,2,65603,2,2,350000,1,0,0,0,387,2019,12,4
4,43.0,0.0,C13,2,65603,2,2,0,1,1,0,0,142,2019,12,4
5,29.0,0.0,C9,0,46368,1,1,0,1,0,0,0,719,2019,1,1
5,29.0,0.0,C9,0,46368,1,1,120360,1,0,0,0,719,2019,1,1
5,29.0,0.0,C9,0,46368,1,1,0,1,1,0,0,57,2019,1,1
6,31.0,1.0,C11,1,78728,3,3,0,1,0,1,0,150,2020,7,3
6,31.0,1.0,C11,1,78728,3,3,0,1,0,1,0,150,2020,7,3
6,31.0,1.0,C11,1,78728,3,3,0,2,0,1,0,150,2020,7,3
6,31.0,1.0,C11,1,78728,3,3,1265000,2,0,1,0,150,2020,7,3
6,31.0,1.0,C11,1,78728,3,3,0,2,0,1,0,150,2020,7,3
8,34.0,0.0,C2,0,70656,3,3,0,1,0,0,0,100,2020,9,3
8,34.0,0.0,C2,0,70656,3,3,0,1,0,0,0,100,2020,9,3
8,34.0,0.0,C2,0,70656,3,3,0,1,1,0,0,57,2020,9,3
11,28.0,1.0,C19,2,42172,1,1,0,1,0,0,0,21,2020,12,4
12,35.0,0.0,C23,2,28116,1,1,500000,4,0,1,0,548,2019,6,2
12,35.0,0.0,C23,2,28116,1,1,1707180,4,0,1,0,548,2019,6,2
12,35.0,0.0,C23,2,28116,1,1,400000,4,0,1,0,548,2019,6,2
12,35.0,0.0,C23,2,28116,1,1,0,1,0,1,0,548,2019,6,2
12,35.0,0.0,C23,2,28116,1,1,0,1,0,1,0,548,2019,6,2
12,35.0,0.0,C23,2,28116,1,1,0,1,1,1,0,175,2019,6,2
13,29.0,0.0,C19,2,119227,1,4,250000,1,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,1719680,1,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,545240,1,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,250000,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,895510,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,0,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,350650,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,708360,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,1190290,2,0,1,0,2041,2015,5,2
13,29.0,0.0,C19,2,119227,1,4,0,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,200000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,300000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,151110,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,200000,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,1593590,1,0,1,0,2041,2015,5,2
13,30.0,0.0,C19,2,119227,1,4,0,1,0,1,0,2041,2015,5,2
